model_type,n_layers,units,dropout,recurrent_dropout,activation,kernel_regularizer,bidirectional,optimizer,lr,batch_size,epochs,window_size,patience,fold,rmse,mae
lstm,1,64,0.2,0.1,tanh,0.0001,False,rmsprop,0.0001,16,50,8,20,3,7.769558182447977,6.882447804663732
lstm,1,64,0.2,0.1,tanh,0.0001,False,rmsprop,0.0001,16,50,8,20,4,4.5819180185542265,4.43810971951118
lstm,1,64,0.2,0.1,tanh,0.0001,False,rmsprop,0.0001,16,50,8,20,5,9.244458067148258,6.948045607599844
gru,2,32,0.1,0.2,relu,0.0001,True,rmsprop,0.001,32,100,12,5,1,1.3423167397803666,1.1963645612945155
gru,2,32,0.1,0.2,relu,0.0001,True,rmsprop,0.001,32,100,12,5,2,2.726814244963925,2.5052491519927984
gru,2,32,0.1,0.2,relu,0.0001,True,rmsprop,0.001,32,100,12,5,3,3.66734233960755,3.4950636992702884
gru,2,32,0.1,0.2,relu,0.0001,True,rmsprop,0.001,32,100,12,5,4,1.1591916526725718,1.084744552837312
gru,2,32,0.1,0.2,relu,0.0001,True,rmsprop,0.001,32,100,12,5,5,8.875718759163728,4.665001873002449
gru,2,128,0.3,0.2,tanh,0.0001,False,rmsprop,0.0001,32,50,8,5,1,5.539834876399183,5.333214421052198
gru,2,128,0.3,0.2,tanh,0.0001,False,rmsprop,0.0001,32,50,8,5,2,4.73535428742599,4.285689232943607
gru,2,128,0.3,0.2,tanh,0.0001,False,rmsprop,0.0001,32,50,8,5,3,5.368596046338501,4.122156791336232
gru,2,128,0.3,0.2,tanh,0.0001,False,rmsprop,0.0001,32,50,8,5,4,2.6638481968675083,2.5803789686569805
gru,2,128,0.3,0.2,tanh,0.0001,False,rmsprop,0.0001,32,50,8,5,5,8.490385546991474,5.336377627231523
rnn,2,16,0.1,0.2,tanh,0.0,True,sgd,0.0001,16,200,12,10,1,4.611739671888335,3.084018842140834
rnn,2,16,0.1,0.2,tanh,0.0,True,sgd,0.0001,16,200,12,10,2,21.206149561054985,18.50747705745697
rnn,2,16,0.1,0.2,tanh,0.0,True,sgd,0.0001,16,200,12,10,3,25.05837790826235,18.62462177054088
rnn,2,16,0.1,0.2,tanh,0.0,True,sgd,0.0001,16,200,12,10,4,7.055611365183152,5.703773653856913
rnn,2,16,0.1,0.2,tanh,0.0,True,sgd,0.0001,16,200,12,10,5,15.32440051698781,8.6473709267353
rnn,2,128,0.0,0.2,tanh,0.0001,True,rmsprop,0.0001,16,200,4,20,1,3.136154432968015,2.641023262518857
rnn,2,128,0.0,0.2,tanh,0.0001,True,rmsprop,0.0001,16,200,4,20,2,10.152002058662635,8.033227935957909
rnn,2,128,0.0,0.2,tanh,0.0001,True,rmsprop,0.0001,16,200,4,20,3,15.128968987834895,11.096402826595304
rnn,2,128,0.0,0.2,tanh,0.0001,True,rmsprop,0.0001,16,200,4,20,4,2.458862929569356,2.165370465741413
rnn,2,128,0.0,0.2,tanh,0.0001,True,rmsprop,0.0001,16,200,4,20,5,8.260352493046211,5.154131550758224
lstm,1,64,0.2,0.1,tanh,0.0,False,adam,0.0005,64,200,4,10,1,1.6294720220456849,1.394547617746676
lstm,1,64,0.2,0.1,tanh,0.0,False,adam,0.0005,64,200,4,10,2,3.883378276513298,3.4797445665700084
lstm,1,64,0.2,0.1,tanh,0.0,False,adam,0.0005,64,200,4,10,3,2.643608533217579,2.36607480245999
lstm,1,64,0.2,0.1,tanh,0.0,False,adam,0.0005,64,200,4,10,4,3.563122292085395,3.43201141148976
lstm,1,64,0.2,0.1,tanh,0.0,False,adam,0.0005,64,200,4,10,5,8.336950856063435,4.5068100206807244
gru,1,32,0.0,0.2,tanh,0.0,False,sgd,0.001,64,200,12,5,1,3.799433477734917,3.689314897060394
gru,1,32,0.0,0.2,tanh,0.0,False,sgd,0.001,64,200,12,5,2,8.795706673404101,7.622672238349914
gru,1,32,0.0,0.2,tanh,0.0,False,sgd,0.001,64,200,12,5,3,3.339263818252657,3.023789070638022
gru,1,32,0.0,0.2,tanh,0.0,False,sgd,0.001,64,200,12,5,4,7.202841746750696,7.19647462164561
gru,1,32,0.0,0.2,tanh,0.0,False,sgd,0.001,64,200,12,5,5,9.767839729429769,7.460034697786966
rnn,2,32,0.2,0.1,tanh,0.0,False,adam,0.001,32,100,8,10,1,1.960101696130265,1.7090609198496898
rnn,2,32,0.2,0.1,tanh,0.0,False,adam,0.001,32,100,8,10,2,17.551835360479053,13.915618016628118
rnn,2,32,0.2,0.1,tanh,0.0,False,adam,0.001,32,100,8,10,3,8.587151032281792,7.10188366754972
rnn,2,32,0.2,0.1,tanh,0.0,False,adam,0.001,32,100,8,10,4,8.6267429135983,5.176963728187635
rnn,2,32,0.2,0.1,tanh,0.0,False,adam,0.001,32,100,8,10,5,11.208006625188773,7.884139871025084
gru,2,64,0.1,0.0,relu,0.0001,True,rmsprop,0.0005,32,100,12,5,1,1.7208015641518586,1.5032868335073184
gru,2,64,0.1,0.0,relu,0.0001,True,rmsprop,0.0005,32,100,12,5,2,1.730344046058225,1.5400540022691092
gru,2,64,0.1,0.0,relu,0.0001,True,rmsprop,0.0005,32,100,12,5,3,3.661356033868397,3.2564126111984257
gru,2,64,0.1,0.0,relu,0.0001,True,rmsprop,0.0005,32,100,12,5,4,1.4681764752213982,1.4249721044818562
gru,2,64,0.1,0.0,relu,0.0001,True,rmsprop,0.0005,32,100,12,5,5,8.694933906886641,4.970445373400051
lstm,2,64,0.2,0.0,relu,0.001,False,adam,0.001,16,50,12,5,1,1.432363860393571,1.3159731684923166
lstm,2,64,0.2,0.0,relu,0.001,False,adam,0.001,16,50,12,5,2,1.2798047837605595,1.0271630744924145
lstm,2,64,0.2,0.0,relu,0.001,False,adam,0.001,16,50,12,5,3,0.843333608215678,0.7940771928389868
lstm,2,64,0.2,0.0,relu,0.001,False,adam,0.001,16,50,12,5,4,0.6217476925126869,0.549067808888356
lstm,2,64,0.2,0.0,relu,0.001,False,adam,0.001,16,50,12,5,5,8.981457317243985,4.699516352740303
lstm,2,16,0.3,0.1,relu,0.0001,False,rmsprop,0.0001,32,50,8,20,1,22.387902731753307,22.385291439349835
lstm,2,16,0.3,0.1,relu,0.0001,False,rmsprop,0.0001,32,50,8,20,2,20.428824264629032,20.41834678156926
lstm,2,16,0.3,0.1,relu,0.0001,False,rmsprop,0.0001,32,50,8,20,3,19.32995126480875,19.31058369633601
lstm,2,16,0.3,0.1,relu,0.0001,False,rmsprop,0.0001,32,50,8,20,4,19.465381510873563,19.460824251849832
lstm,2,16,0.3,0.1,relu,0.0001,False,rmsprop,0.0001,32,50,8,20,5,21.314174964391533,19.80090987760104
gru,1,64,0.3,0.2,tanh,0.001,False,rmsprop,0.001,32,200,4,10,1,0.3502782768611596,0.2579810389791213
gru,1,64,0.3,0.2,tanh,0.001,False,rmsprop,0.001,32,200,4,10,2,3.000727324960093,2.769088441910064
gru,1,64,0.3,0.2,tanh,0.001,False,rmsprop,0.001,32,200,4,10,3,1.0971927258067422,0.8848508811014036
gru,1,64,0.3,0.2,tanh,0.001,False,rmsprop,0.001,32,200,4,10,4,0.3702488348046638,0.2968913698332645
gru,1,64,0.3,0.2,tanh,0.001,False,rmsprop,0.001,32,200,4,10,5,8.232309464859188,4.72333402727672
rnn,1,32,0.1,0.2,tanh,0.0,True,rmsprop,0.0005,64,100,4,10,1,3.6068430713440542,2.9297789926460807
rnn,1,32,0.1,0.2,tanh,0.0,True,rmsprop,0.0005,64,100,4,10,2,14.036902495215626,12.493531805092946
rnn,1,32,0.1,0.2,tanh,0.0,True,rmsprop,0.0005,64,100,4,10,3,11.191193177527246,8.478847605313574
rnn,1,32,0.1,0.2,tanh,0.0,True,rmsprop,0.0005,64,100,4,10,4,3.6735746314060194,3.3696730604716705
rnn,1,32,0.1,0.2,tanh,0.0,True,rmsprop,0.0005,64,100,4,10,5,10.338971003509068,6.369987118870871
gru,1,16,0.1,0.2,tanh,0.0,True,rmsprop,0.001,32,100,8,5,1,1.903969641064016,1.5662198919883137
gru,1,16,0.1,0.2,tanh,0.0,True,rmsprop,0.001,32,100,8,5,2,5.706673084815527,4.91245097368864
gru,1,16,0.1,0.2,tanh,0.0,True,rmsprop,0.001,32,100,8,5,3,3.112074788227474,2.64664145054267
gru,1,16,0.1,0.2,tanh,0.0,True,rmsprop,0.001,32,100,8,5,4,1.195653840322787,0.8568670952063341
